16,46
46,16
50,45
45,50
22,43
43,22
50,8
8,50
9,14
14,9
39,44
44,39
42,21
21,42
32,12
12,32
45,1
1,45
37,10
10,37
31,27
27,31
26,39
39,26
18,12
12,18
33,22
22,33
50,3
3,50
28,37
37,28
12,27
27,12
9,42
42,9
41,27
27,41
28,38
38,28
30,39
39,30
33,16
16,33
26,27
27,26
50,27
27,50
48,18
18,48
50,44
44,50
38,37
37,38
31,16
16,31
42,2
2,42
38,35
35,38
9,8
8,9
8,2
2,8
34,48
48,34
14,31
31,14
21,31
31,21
17,12
12,17
34,24
24,34
38,30
30,38
5,32
32,5
37,14
14,37
18,26
26,18
19,50
50,19
18,44
44,18
17,16
16,17
47,29
29,47
44,28
28,44
7,25
25,7
12,49
49,12
23,14
14,23
29,31
31,29
24,10
10,24
7,11
11,7
15,22
22,15
8,16
16,8
42,1
1,42
7,4
4,7
9,35
35,9
2,43
43,2
17,44
44,17
29,22
22,29
19,3
3,19
48,6
6,48
48,50
50,48
36,7
7,36
19,32
32,19
20,37
37,20
28,9
9,28
32,21
21,32
25,5
5,25
17,37
37,17
8,20
20,8
7,38
38,7
49,50
50,49
42,27
27,42
20,24
24,20
36,21
21,36
47,9
9,47
11,6
6,11
33,6
6,33
18,1
1,18
42,48
48,42
17,8
8,17
10,25
25,10
29,30
30,29
29,46
46,29
47,43
43,47
30,41
41,30
31,39
39,31
49,7
7,49
32,1
1,32
28,8
8,28
45,47
47,45
24,16
16,24
32,11
11,32
16,37
37,16
9,32
32,9
18,47
47,18
11,37
37,11
8,15
15,8
42,49
49,42
45,10
10,45
14,6
6,14
26,50
50,26
15,39
39,15
18,8
8,18
10,46
46,10
5,8
8,5
1,41
41,1
34,7
7,34
35,17
17,35
15,13
13,15
20,17
17,20
43,18
18,43
5,34
34,5
48,41
41,48
23,22
22,23
29,16
16,29
25,35
35,25
26,44
44,26
41,18
18,41
43,16
16,43
43,48
48,43
19,37
37,19
36,3
3,36
7,22
22,7
49,1
1,49
23,44
44,23
26,35
35,26
38,20
20,38
32,27
27,32
37,27
27,37
27,7
7,27
42,44
44,42
29,9
9,29
34,18
18,34
48,37
37,48
11,48
48,11
15,14
14,15
6,29
29,6
30,11
11,30
31,18
18,31
14,19
19,14
3,47
47,3
30,7
7,30
42,31
31,42
8,10
10,8
36,24
24,36
22,18
18,22
42,39
39,42
33,8
8,33
27,8
8,27
1,7
7,1
34,9
9,34
31,1
1,31
11,43
43,11
33,19
19,33
31,15
15,31
18,40
40,18
15,35
35,15
3,32
32,3
37,33
33,37
14,34
34,14
25,30
30,25
34,13
13,34
35,47
47,35
32,37
37,32
14,17
17,14
23,13
13,23
35,28
28,35
40,47
47,40
31,3
3,31
12,30
30,12
35,21
21,35
19,4
4,19
6,49
49,6
4,29
29,4
38,3
3,38
50,11
11,50
3,25
25,3
33,12
12,33
14,39
39,14
49,17
17,49
47,33
33,47
27,43
43,27
41,36
36,41
19,10
10,19
21,29
29,21
9,33
33,9
18,49
49,18
4,32
32,4
37,23
23,37
31,41
41,31
27,2
2,27
6,45
45,6
21,24
24,21
34,20
20,34
49,5
5,49
3,20
20,3
26,20
20,26
49,23
23,49
49,33
33,49
30,1
1,30
10,31
31,10
10,48
48,10
33,14
14,33
1,12
12,1
11,4
4,11
5,22
22,5
11,25
25,11
21,16
16,21
38,45
45,38
32,24
24,32
33,27
27,33
12,29
29,12
35,33
33,35
27,49
49,27
42,41
41,42
48,20
20,48
16,47
47,16
20,50
50,20
39,50
50,39
24,35
35,24
6,15
15,6
47,11
11,47
18,29
29,18
3,23
23,3
25,47
47,25
50,32
32,50
21,39
39,21
28,17
17,28
35,5
5,35
24,2
2,24
45,9
9,45
35,20
20,35
15,44
44,15
42,18
18,42
8,6
6,8
11,22
22,11
46,13
13,46
13,38
38,13
24,4
4,24
10,21
21,10
28,40
40,28
2,38
38,2
2,22
22,2
3,41
41,3
31,38
38,31
28,32
32,28
14,26
26,14
12,2
2,12
12,25
25,12
13,11
11,13
44,43
43,44
32,17
17,32
3,14
14,3
27,14
14,27
41,40
40,41
29,11
11,29
27,25
25,27
1,21
21,1
10,39
39,10
23,15
15,23
36,16
16,36
3,45
45,3
49,29
29,49
36,2
2,36
43,24
24,43
21,46
46,21
29,40
40,29
24,50
50,24
12,6
6,12
42,23
23,42
34,31
31,34
17,50
50,17
3,44
44,3
44,47
47,44
33,26
26,33
4,8
8,4
27,36
36,27
42,20
20,42
30,18
18,30
35,42
42,35
50,1
1,50
35,36
36,35
13,37
37,13
2,29
29,2
27,44
44,27
8,32
32,8
48,44
44,48
33,4
4,33
5,50
50,5
36,22
22,36
40,36
36,40
45,32
32,45
30,40
40,30
6,39
39,6
20,39
39,20
2,9
9,2
27,19
19,27
16,27
27,16
45,36
36,45
8,1
1,8
27,48
48,27
41,6
6,41
7,21
21,7
50,29
29,50
45,41
41,45
19,1
1,19
3,28
28,3
19,35
35,19
5,46
46,5
34,29
29,34
18,7
7,18
35,11
11,35
19,42
42,19
42,45
45,42
23,34
34,23
37,45
45,37
48,31
31,48
18,19
19,18
20,47
47,20
49,45
45,49
26,28
28,26
5,17
17,5
16,10
10,16
37,18
18,37
11,9
9,11
39,24
24,39
21,34
34,21
13,36
36,13
50,14
14,50
37,29
29,37
10,26
26,10
9,37
37,9
9,4
4,9
49,26
26,49
44,12
12,44
10,2
2,10
4,27
27,4
36,44
44,36
30,19
19,30
30,16
16,30
49,15
15,49
12,37
37,12
6,40
40,6
24,30
30,24
6,17
17,6
16,25
25,16
25,43
43,25
43,42
42,43
42,6
6,42
13,33
33,13
8,11
11,8
23,17
17,23
10,43
43,10
5,30
30,5
21,6
6,21
11,1
1,11
30,36
36,30
45,26
26,45
43,35
35,43
47,31
31,47
30,27
27,30
15,38
38,15
1,20
20,1
23,9
9,23
28,2
2,28
12,35
35,12
18,4
4,18
11,33
33,11
34,26
26,34
39,41
41,39
4,21
21,4
7,14
14,7
39,33
33,39
50,30
30,50
30,44
44,30
21,20
20,21
27,38
38,27
42,13
13,42
34,22
22,34
13,31
31,13
33,23
23,33
45,34
34,45
38,32
32,38
35,23
23,35
21,23
23,21
19,13
13,19
1,43
43,1
2,6
6,2
22,31
31,22
8,12
12,8
33,48
48,33
31,24
24,31
12,40
40,12
13,21
21,13
16,11
11,16
34,49
49,34
4,44
44,4
23,8
8,23
2,49
49,2
42,22
22,42
24,9
9,24
40,11
11,40
29,39
39,29
36,1
1,36
12,4
4,12
39,19
19,39
48,12
12,48
22,24
24,22
47,28
28,47
39,22
22,39
7,8
8,7
26,7
7,26
22,1
1,22
40,1
1,40
35,29
29,35
21,11
11,21
7,5
5,7
33,41
41,33
6,3
3,6
40,17
17,40
19,15
15,19
28,25
25,28
46,19
19,46
15,5
5,15
27,15
15,27
42,38
38,42
7,50
50,7
25,45
45,25
13,50
50,13
16,34
34,16
45,8
8,45
17,46
46,17
14,25
25,14
19,2
2,19
33,5
5,33
26,16
16,26
16,6
6,16
17,30
30,17
16,20
20,16
43,20
20,43
24,41
41,24
26,32
32,26
7,6
6,7
35,37
37,35
47,4
4,47
46,39
39,46
25,50
50,25
28,20
20,28
22,25
25,22
50,43
43,50
44,20
20,44
8,21
21,8
49,25
25,49
47,6
6,47
6,19
19,6
34,39
39,34
17,47
47,17
40,48
48,40
41,14
14,41
20,36
36,20
43,26
26,43
32,30
30,32
47,23
23,47
30,4
4,30
